Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
113,1001,127,Aug 23,MIN,@,MIL,L7-8,CG(10),5,3,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.229,.310,.400,.711,3,1.67,-0.019,1.28,-0.01%,-0.23,9.00,12.70,SS
114,1002,128,Aug 24,MIN,,TEX,W7-5,CG,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.229,.310,.401,.711,4,1.78,0.242,1.38,0.11%,0.44,9.00,12.70,SS
115,1003,129,Aug 25,MIN,,TEX,W12-2,CG,5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.229,.308,.406,.714,3,.67,-0.103,.47,-0.04%,-1.11,14.00,18.70,SS
116,1004,130,Aug 26,MIN,,TEX,L2-6,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.227,.308,.403,.711,4,.89,-0.055,.66,-0.02%,-0.53,2.00,3.00,SS
117,1005,131,Aug 27,MIN,,TEX,W7-6,CG(13),6,4,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,.225,.308,.400,.708,4,2.54,-0.179,1.64,-0.07%,-0.58,8.00,12.40,SS
118,1006,132,Aug 28,MIN,,CLE,W10-6,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.226,.309,.398,.707,4,1.04,0.038,.99,0.02%,0.35,7.00,9.20,SS
119,1007,133,Aug 29,MIN,,CLE,L2-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.224,.307,.395,.702,4,1.69,-0.214,1.22,-0.09%,-1.96,0.00,0.00,SS
120,1008,134,Aug 30,MIN,,CLE,L2-5,CG(10),4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.222,.304,.391,.696,3,1.12,-0.151,1.11,-0.09%,-1.99,0.00,0.00,SS
121,1009,135,Sep 1,MIN,@,TEX,W5-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.304,.390,.694,5,1.06,-0.029,.71,-0.01%,-0.55,5.00,6.20,SS
122,1010,136,Sep 2,MIN,@,TEX,W9-7,CG(10),5,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.224,.305,.390,.695,4,1.58,0.080,1.10,0.03%,0.21,10.00,12.70,SS
123,1011,137,Sep 3,MIN,@,TEX,L5-6,CG,5,5,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.228,.308,.392,.700,5,2.03,-0.106,1.37,-0.04%,-0.46,11.00,12.50,SS
124,1012,138,Sep 4,MIN,@,CLE,W20-6,GS-6,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.230,.309,.400,.709,5,.24,0.000,.27,0.00%,1.45,19.00,25.20,SS
125,1013,139,Sep 5,MIN,@,CLE,W8-3,CG,5,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.231,.312,.399,.711,5,1.20,0.084,.90,0.04%,1.09,11.00,15.70,SS
126,1014,140,Sep 6,MIN,@,CLE,L1-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.229,.310,.396,.705,5,1.45,-0.142,.71,-0.04%,-0.84,0.00,0.00,SS
127,1015,141,Sep 8,MIN,,NYM,W5-2,CG,4,3,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,.232,.313,.406,.718,5,.93,0.115,.30,0.02%,1.25,21.00,27.70,SS
128,1016,142,Sep 9,MIN,,NYM,W8-4,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.230,.312,.403,.716,4,1.26,-0.065,.41,-0.01%,-0.56,4.00,6.20,SS
129,1017,143,Sep 10,MIN,,NYM,L0-2,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.230,.312,.404,.716,5,1.45,-0.029,.35,0.00%,-0.37,5.00,6.00,SS
130,1018,144,Sep 11,MIN,,TBR,L4-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.228,.310,.401,.710,5,1.33,-0.127,.24,-0.01%,-1.14,0.00,0.00,SS
131,1019,145,Sep 12,MIN,,TBR,W3-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.229,.309,.400,.709,5,1.35,-0.091,.23,-0.01%,-0.93,3.00,3.00,SS
132,1020,148 (2),Sep 15,MIN,@,CHW,W10-2,GS-9,5,5,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,.230,.310,.402,.712,5,.51,-0.023,.04,0.00%,1.19,14.00,18.90,SS
133,1021,149,Sep 16,MIN,@,CHW,L6-7,CG,5,2,1,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,.231,.314,.402,.716,5,1.24,0.153,.13,0.01%,1.45,13.00,18.70,SS
134,1022,150,Sep 17,MIN,@,CHW,W4-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.230,.312,.399,.711,5,.60,-0.061,.08,-0.01%,-1.13,0.00,0.00,SS
135,1023,151,Sep 18,MIN,@,CIN,L3-7,GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.230,.312,.399,.711,5,,,,,,0.00,0.00,SS
,,,,,,,72-63,,580,514,60,118,29,2,18,65,59,3,131,4,0,3,3,30,0,0,.230,.312,.399,.711,,1.08,-2.631,1.02,-1.54%,-22.17,924.00,1223.50,
