Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
93,822,147,Sep 14 (2),NYY,@,BOS,W8-5,CG,5,2,1,1,0,0,1,4,3,1,0,0,0,0,0,1,0,0,.254,.392,.588,.980,2,1.61,0.310,.03,0.00%,3.43,26.00,38.20,DH
94,823,148,Sep 15,NYY,@,PIT,W7-5,CG,5,5,1,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.259,.394,.588,.983,2,1.65,0.268,.05,0.01%,1.53,13.00,15.70,RF
95,824,149,Sep 16,NYY,@,PIT,W6-3,CG,5,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.258,.397,.585,.981,2,.96,0.112,.05,0.00%,0.92,8.00,12.20,RF
96,825,150,Sep 17,NYY,@,PIT,L2-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.393,.578,.971,2,1.34,-0.153,.13,-0.01%,-1.04,0.00,0.00,RF
97,826,151,Sep 19,NYY,,TOR,L1-7,CG,4,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.257,.394,.577,.971,2,1.06,-0.051,.05,0.00%,-0.08,8.00,9.20,RF
98,827,152,Sep 20,NYY,,TOR,L1-6,CG,4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.256,.395,.574,.968,2,.68,0.021,.00,0.00%,0.26,4.00,6.00,RF
99,828,153,Sep 21,NYY,,TOR,W5-3,CG,4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.259,.396,.576,.971,2,.47,-0.022,.00,0.00%,0.78,10.00,12.50,DH
100,829,154,Sep 22,NYY,,ARI,W7-1,CG,4,4,3,4,1,0,3,6,0,0,0,0,0,0,0,0,0,0,.267,.401,.609,1.011,2,.76,0.304,.00,0.00%,5.14,53.00,72.60,RF
101,830,155,Sep 24,NYY,,ARI,L1-7,CG,5,3,0,1,1,0,0,1,2,0,2,0,0,0,0,0,0,0,.268,.404,.610,1.013,2,.90,-0.040,.00,0.00%,1.36,11.00,15.50,DH
102,831,156,Sep 25,NYY,,ARI,W6-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.266,.402,.605,1.007,2,1.54,-0.073,.00,0.00%,-0.33,2.00,3.00,DH
103,832,158 (1),Sep 27,NYY,@,TOR,W6-0,CG,5,3,3,2,0,0,2,4,2,1,1,0,0,0,0,0,0,0,.269,.407,.622,1.029,2,.67,0.234,.00,0.00%,3.74,38.00,53.60,RF
104,833,159,Sep 28,NYY,@,TOR,L0-6,CG,4,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.267,.405,.617,1.022,2,.73,-0.030,.00,0.00%,-0.45,2.00,3.00,RF
105,834,160,Sep 29,NYY,@,KCR,L5-12,CG,4,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.267,.406,.617,1.023,2,.29,0.007,.00,0.00%,0.86,11.00,15.40,DH
106,835,161,Sep 30,NYY,@,KCR,W5-2,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.267,.406,.613,1.019,2,1.16,-0.016,.00,0.00%,-0.24,5.00,6.00,DH
,,,,,,,57-49,,458,367,79,98,16,0,37,75,88,9,130,0,0,3,1,5,3,1,.267,.406,.613,1.019,,.94,3.042,.54,1.59%,47.32,1084.00,1472.30,
